action_day,scenario,mark,fair,pfc_usd,coc_usd,net_profit_usd
68,B-2,0.8837438423645321,0.41871921182266014,9297980.295566503,250996.48221877322,9046983.813347729
68,B-3,0.8837438423645321,0.41871921182266014,9297980.295566503,307908534.56441057,-298610554.26884407
69,B-2,0.8788998357963875,0.41871921182266014,9201100.16420361,248535.72688215575,8952564.437321454
69,B-3,0.8788998357963875,0.41871921182266014,9201100.16420361,307906073.8090739,-298704973.64487034
70,B-2,0.874055829228243,0.41871921182266014,9104220.032840721,246074.97154553837,8858145.061295183
70,B-3,0.874055829228243,0.41871921182266014,9104220.032840721,307903613.0537373,-298799393.02089655
71,B-2,0.8692118226600986,0.41871921182266014,9007339.901477832,243614.216208921,8763725.68526891
71,B-3,0.8692118226600986,0.41871921182266014,9007339.901477832,307901152.2984007,-298893812.3969229
72,B-2,0.864367816091954,0.41871921182266014,8910459.77011494,241153.46087230352,8669306.309242636
72,B-3,0.864367816091954,0.41871921182266014,8910459.77011494,307898691.54306406,-298988231.7729491
73,B-2,0.8595238095238096,0.41871921182266014,8813579.63875205,238692.70553568614,8574886.933216365
73,B-3,0.8595238095238096,0.41871921182266014,8813579.63875205,307896230.7877275,-299082651.14897543
74,B-2,0.854679802955665,0.41871921182266014,8716699.507389162,236231.95019906876,8480467.557190092
74,B-3,0.854679802955665,0.41871921182266014,8716699.507389162,307893770.03239083,-299177070.52500165
75,B-2,0.8498357963875205,0.41871921182266014,8619819.376026269,233771.1948624513,8386048.181163818
75,B-3,0.8498357963875205,0.41871921182266014,8619819.376026269,307891309.2770542,-299271489.9010279
76,B-2,0.8449917898193761,0.41871921182266014,8522939.24466338,231310.43952583388,8291628.805137546
76,B-3,0.8449917898193761,0.41871921182266014,8522939.24466338,307888848.5217176,-299365909.27705425
77,B-2,0.8401477832512315,0.41871921182266014,8426059.113300491,228849.68418921652,8197209.429111275
77,B-3,0.8401477832512315,0.41871921182266014,8426059.113300491,307886387.76638097,-299460328.65308046
78,B-2,0.8353037766830871,0.41871921182266014,8329178.981937603,226388.92885259914,8102790.053085004
78,B-3,0.8353037766830871,0.41871921182266014,8329178.981937603,307883927.0110444,-299554748.0291068
79,B-2,0.8304597701149425,0.41871921182266014,8232298.850574712,223928.17351598173,8008370.67705873
79,B-3,0.8304597701149425,0.41871921182266014,8232298.850574712,307881466.25570774,-299649167.405133
80,B-2,0.825615763546798,0.41871921182266014,8135418.719211821,221467.4181793643,7913951.3010324575
80,B-3,0.825615763546798,0.41871921182266014,8135418.719211821,307879005.50037116,-299743586.78115934
81,B-2,0.8207717569786536,0.41871921182266014,8038538.5878489325,219006.66284274694,7819531.925006186
81,B-3,0.8207717569786536,0.41871921182266014,8038538.5878489325,307876544.7450345,-299838006.15718555
82,B-2,0.815927750410509,0.41871921182266014,7941658.456486042,216545.9075061295,7725112.548979912
82,B-3,0.815927750410509,0.41871921182266014,7941658.456486042,307874083.9896979,-299932425.5332118
83,B-2,0.8110837438423646,0.41871921182266014,7844778.325123153,214085.15216951215,7630693.17295364
83,B-3,0.8110837438423646,0.41871921182266014,7844778.325123153,307871623.2343613,-300026844.90923816
84,B-2,0.80623973727422,0.41871921182266014,7747898.193760262,211624.3968328947,7536273.796927367
84,B-3,0.80623973727422,0.41871921182266014,7747898.193760262,307869162.47902465,-300121264.2852644
85,B-2,0.8013957307060755,0.41871921182266014,7651018.062397371,209163.64149627727,7441854.420901094
85,B-3,0.8013957307060755,0.41871921182266014,7651018.062397371,307866701.72368807,-300215683.6612907
86,B-2,0.7965517241379311,0.41871921182266014,7554137.931034482,206702.8861596599,7347435.044874822
86,B-3,0.7965517241379311,0.41871921182266014,7554137.931034482,307864240.9683514,-300310103.0373169
87,B-2,0.7917077175697865,0.41871921182266014,7457257.799671591,204242.13082304245,7253015.668848549
87,B-3,0.7917077175697865,0.41871921182266014,7457257.799671591,307861780.2130148,-300404522.4133432
88,B-2,0.7868637110016421,0.41871921182266014,7360377.668308704,201781.37548642512,7158596.292822279
88,B-3,0.7868637110016421,0.41871921182266014,7360377.668308704,307859319.4576782,-300498941.7893695
89,B-2,0.7820197044334976,0.41871921182266014,7263497.5369458115,199320.62014980766,7064176.9167960035
89,B-3,0.7820197044334976,0.41871921182266014,7263497.5369458115,307856858.70234156,-300593361.16539574
90,B-2,0.777175697865353,0.41871921182266014,7166617.405582921,196859.86481319024,6969757.540769731
90,B-3,0.777175697865353,0.41871921182266014,7166617.405582921,307854397.947005,-300687780.54142207
91,B-2,0.7723316912972086,0.41871921182266014,7069737.274220034,194399.1094765729,6875338.164743461
91,B-3,0.7723316912972086,0.41871921182266014,7069737.274220034,307851937.19166833,-300782199.9174483
92,B-2,0.767487684729064,0.41871921182266014,6972857.142857143,191938.35413995548,6780918.788717187
92,B-3,0.767487684729064,0.41871921182266014,6972857.142857143,307849476.43633175,-300876619.2934746
93,B-2,0.7626436781609196,0.41871921182266014,6875977.011494254,189477.5988033381,6686499.412690916
93,B-3,0.7626436781609196,0.41871921182266014,6875977.011494254,307847015.6809951,-300971038.6695008
94,B-2,0.7577996715927751,0.41871921182266014,6779096.880131363,187016.8434667207,6592080.036664642
94,B-3,0.7577996715927751,0.41871921182266014,6779096.880131363,307844554.92565846,-301065458.0455271
95,B-2,0.7529556650246305,0.41871921182266014,6682216.748768472,184556.08813010325,6497660.660638369
95,B-3,0.7529556650246305,0.41871921182266014,6682216.748768472,307842094.1703219,-301159877.42155343
96,B-2,0.748111658456486,0.41871921182266014,6585336.617405581,182095.3327934858,6403241.284612096
96,B-3,0.748111658456486,0.41871921182266014,6585336.617405581,307839633.41498524,-301254296.79757965
97,B-2,0.7432676518883417,0.41871921182266014,6488456.486042694,179634.5774568685,6308821.908585826
97,B-3,0.7432676518883417,0.41871921182266014,6488456.486042694,307837172.65964866,-301348716.173606
98,B-2,0.7384236453201971,0.41871921182266014,6391576.354679803,177173.82212025105,6214402.532559552
98,B-3,0.7384236453201971,0.41871921182266014,6391576.354679803,307834711.904312,-301443135.5496322
99,B-2,0.7335796387520526,0.41871921182266014,6294696.223316913,174713.06678363364,6119983.1565332785
99,B-3,0.7335796387520526,0.41871921182266014,6294696.223316913,307832251.1489754,-301537554.92565846
100,B-2,0.728735632183908,0.41871921182266014,6197816.091954022,172252.3114470162,6025563.780507006
100,B-3,0.728735632183908,0.41871921182266014,6197816.091954022,307829790.3936388,-301631974.3016848
101,B-2,0.7238916256157636,0.41871921182266014,6100935.960591133,169791.55611039881,5931144.404480734
101,B-3,0.7238916256157636,0.41871921182266014,6100935.960591133,307827329.63830215,-301726393.677711
102,B-2,0.719047619047619,0.41871921182266014,6004055.829228242,167330.80077378138,5836725.02845446
102,B-3,0.719047619047619,0.41871921182266014,6004055.829228242,307824868.88296556,-301820813.05373734
103,B-2,0.7142036124794746,0.41871921182266014,5907175.697865353,164870.04543716402,5742305.652428189
103,B-3,0.7142036124794746,0.41871921182266014,5907175.697865353,307822408.1276289,-301915232.42976356
104,B-2,0.7093596059113301,0.41871921182266014,5810295.566502462,162409.29010054658,5647886.276401916
104,B-3,0.7093596059113301,0.41871921182266014,5810295.566502462,307819947.37229234,-302009651.8057899
105,B-2,0.7045155993431855,0.41871921182266014,5713415.435139571,159948.53476392914,5553466.900375642
105,B-3,0.7045155993431855,0.41871921182266014,5713415.435139571,307817486.6169557,-302104071.1818161
106,B-2,0.699671592775041,0.41871921182266014,5616535.3037766805,157487.77942731173,5459047.524349369
106,B-3,0.699671592775041,0.41871921182266014,5616535.3037766805,307815025.86161906,-302198490.5578424
107,B-2,0.6948275862068966,0.41871921182266014,5519655.1724137915,155027.02409069432,5364628.148323097
107,B-3,0.6948275862068966,0.41871921182266014,5519655.1724137915,307812565.1062825,-302292909.9338687
108,B-2,0.6899835796387521,0.41871921182266014,5422775.041050904,152566.26875407703,5270208.772296827
